fish_code,trial_id,experiment_month,cohort_id,silvering_stage,trial_order,experimental_condition,water_medium,temperature_c,tl_used_cm,bw_used_g,swimming_speed_m_s,swimming_speed_tl_s,mo2_mg_o2_kg_h,cot_mg_o2_kg_km,is_lowflow_0_1_m_s,is_active_speed,is_uopt_speed,used_for_active_metrics,speed_step_status,table_s2_uopt_m_s,table_s2_mincot_mg_o2_kg_km,table_s2_mo2_at_uopt_mg_o2_kg_h,uopt_position_flag,active_metrics_status,source_raw_mo2_row,source_raw_cot_row,notes
Eel 1,E01FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,53.4,198,0.1,0.18726591760299627,64.27306439393912,178.5362899831642,True,False,False,False,lowflow_0.1_m_s,0.5,45.906832426832445,82.63229836829841,highest_observed_speed,boundary_estimate,7,8,
Eel 1,E01FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,53.4,198,0.4,0.7490636704119851,99.88934848484838,69.36760311447803,False,True,False,True,active_measured,0.5,45.906832426832445,82.63229836829841,highest_observed_speed,boundary_estimate,7,8,
Eel 1,E01FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,53.4,198,0.5,0.9363295880149812,82.63229836829841,45.906832426832445,False,True,True,True,uopt_speed,0.5,45.906832426832445,82.63229836829841,highest_observed_speed,boundary_estimate,7,8,Uopt/minCOT occurs at highest observed speed; treated as boundary_estimate in Table S2.
Eel 2,E02FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,58.9,300,0.1,0.16977928692699493,69.57413582990155,193.26148841639318,True,False,False,False,lowflow_0.1_m_s,0.5,48.55484156912564,87.39871482442616,highest_observed_speed,boundary_estimate,8,9,
Eel 2,E02FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,58.9,300,0.4,0.6791171477079797,95.26568071081947,66.15672271584684,False,True,False,True,active_measured,0.5,48.55484156912564,87.39871482442616,highest_observed_speed,boundary_estimate,8,9,
Eel 2,E02FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,58.9,300,0.5,0.8488964346349746,87.39871482442616,48.55484156912564,False,True,True,True,uopt_speed,0.5,48.55484156912564,87.39871482442616,highest_observed_speed,boundary_estimate,8,9,Uopt/minCOT occurs at highest observed speed; treated as boundary_estimate in Table S2.
Eel 3,E03FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,53.5,183,0.1,0.18691588785046728,81.45024918960108,226.2506921933363,True,False,False,False,lowflow_0.1_m_s,0.4,53.521699746666656,77.0712476352,lowest_active_speed,boundary_estimate,9,10,
Eel 3,E03FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,53.5,183,0.4,0.7476635514018691,77.0712476352,53.521699746666656,False,True,True,True,uopt_speed,0.4,53.521699746666656,77.0712476352,lowest_active_speed,boundary_estimate,9,10,Uopt/minCOT occurs at lowest active speed; treated as boundary_estimate in Table S2.
Eel 3,E03FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,53.5,183,0.5,0.9345794392523364,102.9295107141001,57.183061507833386,False,True,False,True,active_measured,0.4,53.521699746666656,77.0712476352,lowest_active_speed,boundary_estimate,9,10,
Eel 4,E04FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,56.3,211,0.1,0.17761989342806397,52.87729265402807,146.88136848341128,True,False,False,False,lowflow_0.1_m_s,0.4,65.9357968009477,94.9475473933647,single_active_point,single_active_point,10,11,
Eel 4,E04FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,56.3,211,0.4,0.7104795737122559,94.9475473933647,65.9357968009477,False,True,True,True,uopt_speed,0.4,65.9357968009477,94.9475473933647,single_active_point,single_active_point,10,11,Only one valid active speed point was available; active metrics status is single_active_point.
Eel 5,E05FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,56.8,204,0.1,0.17605633802816903,51.897242647058725,144.15900735294088,True,False,False,False,lowflow_0.1_m_s,0.6,43.6173406862745,94.21345588235293,highest_observed_speed,boundary_estimate,11,12,
Eel 5,E05FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,56.8,204,0.4,0.7042253521126761,75.05139705882392,52.119025735294386,False,True,False,True,active_measured,0.6,43.6173406862745,94.21345588235293,highest_observed_speed,boundary_estimate,11,12,
Eel 5,E05FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,56.8,204,0.5,0.8802816901408451,92.2174080882354,51.231893382353,False,True,False,True,active_measured,0.6,43.6173406862745,94.21345588235293,highest_observed_speed,boundary_estimate,11,12,
Eel 5,E05FW25,2012-09,2012,Y1,1,FW25,Freshwater,25,56.8,204,0.6,1.0563380281690142,94.21345588235293,43.6173406862745,False,True,True,True,uopt_speed,0.6,43.6173406862745,94.21345588235293,highest_observed_speed,boundary_estimate,11,12,Uopt/minCOT occurs at highest observed speed; treated as boundary_estimate in Table S2.
Eel 6,E06FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,62.7,347,0.1,0.1594896331738437,50.459167867435305,140.16435518732027,True,False,False,False,lowflow_0.1_m_s,0.5,59.69647528264242,107.45365550875636,highest_observed_speed,boundary_estimate,17,18,
Eel 6,E06FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,62.7,347,0.4,0.6379585326953748,102.32649855907783,71.06006844380404,False,True,False,True,active_measured,0.5,59.69647528264242,107.45365550875636,highest_observed_speed,boundary_estimate,17,18,
Eel 6,E06FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,62.7,347,0.5,0.7974481658692185,107.45365550875636,59.69647528264242,False,True,True,True,uopt_speed,0.5,59.69647528264242,107.45365550875636,highest_observed_speed,boundary_estimate,17,18,Uopt/minCOT occurs at highest observed speed; treated as boundary_estimate in Table S2.
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,0.1,0.1422475106685633,43.230800000000094,120.0855555555558,True,False,False,False,lowflow_0.1_m_s,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,0.4,0.5689900426742532,62.42868815789476,43.35325566520469,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,0.5,0.7112375533428166,80.3357781376519,44.63098785425105,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,0.6,0.8534850640113798,87.17263289473678,40.35770041422999,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,0.7,0.9957325746799431,100.39784473684213,39.840414578111954,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,0.8,1.1379800853485065,101.81991052631594,35.35413559941525,False,True,True,True,uopt_speed,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,Uopt/minCOT occurs at an interior observed active speed.
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,0.9,1.2802275960170697,157.5648894736842,48.631138726445734,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,1.0,1.4224751066856332,218.9981315789479,60.83281432748552,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,1.1,1.5647226173541966,226.3928736842104,57.169917597022824,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,1.2,1.7069701280227596,210.844954385965,48.806702404158564,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 7,E07FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,70.3,570,1.3,1.849217638691323,310.5791684210531,66.3630701754387,False,True,False,True,active_measured,0.8,35.35413559941525,101.81991052631594,interior_minimum,valid,18,19,
Eel 8,E08FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,66.8,310,0.1,0.14970059880239522,62.066655736490375,172.40737704580658,True,False,False,False,lowflow_0.1_m_s,0.4,48.53396214677416,69.88890549135479,lowest_active_speed,boundary_estimate,19,20,
Eel 8,E08FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,66.8,310,0.4,0.5988023952095809,69.88890549135479,48.53396214677416,False,True,True,True,uopt_speed,0.4,48.53396214677416,69.88890549135479,lowest_active_speed,boundary_estimate,19,20,Uopt/minCOT occurs at lowest active speed; treated as boundary_estimate in Table S2.
Eel 8,E08FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,66.8,310,0.5,0.7485029940119762,101.9958649034515,56.66436939080639,False,True,False,True,active_measured,0.4,48.53396214677416,69.88890549135479,lowest_active_speed,boundary_estimate,19,20,
Eel 8,E08FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,66.8,310,0.6,0.8982035928143713,122.44617707574199,56.68804494247314,False,True,False,True,active_measured,0.4,48.53396214677416,69.88890549135479,lowest_active_speed,boundary_estimate,19,20,
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,69.3,414,0.1,0.14430014430014432,44.65361413043471,124.03781702898529,True,False,False,False,lowflow_0.1_m_s,0.7,31.22412008281574,78.68478260869567,interior_minimum,valid,21,22,
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,69.3,414,0.4,0.5772005772005773,64.5215217391302,44.80661231884041,False,True,False,True,active_measured,0.7,31.22412008281574,78.68478260869567,interior_minimum,valid,21,22,
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,69.3,414,0.5,0.7215007215007215,66.09521739130435,36.7195652173913,False,True,False,True,active_measured,0.7,31.22412008281574,78.68478260869567,interior_minimum,valid,21,22,
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,69.3,414,0.6,0.8658008658008658,76.32423913043472,35.335295893719774,False,True,False,True,active_measured,0.7,31.22412008281574,78.68478260869567,interior_minimum,valid,21,22,
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,69.3,414,0.7,1.0101010101010102,78.68478260869567,31.22412008281574,False,True,True,True,uopt_speed,0.7,31.22412008281574,78.68478260869567,interior_minimum,valid,21,22,Uopt/minCOT occurs at an interior observed active speed.
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,69.3,414,0.8,1.1544011544011545,91.04953416149063,31.61442158385091,False,True,False,True,active_measured,0.7,31.22412008281574,78.68478260869567,interior_minimum,valid,21,22,
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,69.3,414,0.9,1.298701298701299,117.04361413043486,36.124572262479894,False,True,False,True,active_measured,0.7,31.22412008281574,78.68478260869567,interior_minimum,valid,21,22,
Eel 10,E10FW25,2012-09,2012,Y2,1,FW25,Freshwater,25,69.3,414,1.0,1.443001443001443,127.469347826087,35.40815217391305,False,True,False,True,active_measured,0.7,31.22412008281574,78.68478260869567,interior_minimum,valid,21,22,
Eel 1,E01FW18,2012-10,2012,Y1,2,FW18,Freshwater,18,53.4,198,0.1,0.18726591760299627,35.35133507454619,98.19815298485052,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,2,3,
Eel 2,E02FW18,2012-10,2012,Y1,2,FW18,Freshwater,18,58.9,300,0.1,0.16977928692699493,96.9445468426231,269.2904078961752,True,False,False,False,lowflow_0.1_m_s,0.5,25.399743640436938,45.71953855278649,interior_minimum,valid,3,4,
Eel 2,E02FW18,2012-10,2012,Y1,2,FW18,Freshwater,18,58.9,300,0.4,0.6791171477079797,70.01549957114786,48.621874702186005,False,True,False,True,active_measured,0.5,25.399743640436938,45.71953855278649,interior_minimum,valid,3,4,
Eel 2,E02FW18,2012-10,2012,Y1,2,FW18,Freshwater,18,58.9,300,0.5,0.8488964346349746,45.71953855278649,25.399743640436938,False,True,True,True,uopt_speed,0.5,25.399743640436938,45.71953855278649,interior_minimum,valid,3,4,Uopt/minCOT occurs at an interior observed active speed.
Eel 2,E02FW18,2012-10,2012,Y1,2,FW18,Freshwater,18,58.9,300,0.6,1.0186757215619695,91.11985856655676,42.185119706739236,False,True,False,True,active_measured,0.5,25.399743640436938,45.71953855278649,interior_minimum,valid,3,4,
Eel 2,E02FW18,2012-10,2012,Y1,2,FW18,Freshwater,18,58.9,300,0.7,1.1884550084889642,66.86383875672136,26.533269347905303,False,True,False,True,active_measured,0.5,25.399743640436938,45.71953855278649,interior_minimum,valid,3,4,
Eel 3,E03FW18,2012-10,2012,Y1,2,FW18,Freshwater,18,53.5,183,0.1,0.18691588785046728,30.85,85.69444444444444,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,4,5,
Eel 4,E04FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.3,211,0.1,0.17761989342806397,39.12518598824654,108.68107218957371,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,5,6,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.1,0.17605633802816903,50.83442420911798,141.20673391421658,True,False,False,False,lowflow_0.1_m_s,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.4,0.7042253521126761,83.72098560794073,58.139573338847725,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.5,0.8802816901408451,74.80072012588197,41.55595562548998,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.6,1.0563380281690142,65.55814511647043,30.35099310947705,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.7,1.2323943661971832,64.05351067411763,25.41805979131652,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.8,1.4084507042253522,41.914263390000116,14.553563677083371,False,True,True,True,uopt_speed,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,Uopt/minCOT occurs at an interior observed active speed.
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.9,1.5845070422535212,150.31803252235252,46.394454482207564,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,1.0,1.7605633802816902,63.08632043470555,17.523977898529317,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 6,E06FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,62.7,347,0.1,0.1594896331738437,29.44,81.77777777777777,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,12,13,
Eel 7,E07FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,70.3,570,0.1,0.1422475106685633,24.35,67.63888888888889,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,13,14,
Eel 8,E08FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,66.8,310,0.1,0.14970059880239522,36.53,101.47222222222221,True,False,False,False,lowflow_0.1_m_s,0.4,23.888888888888886,34.4,single_active_point,single_active_point,14,15,
Eel 8,E08FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,66.8,310,0.4,0.5988023952095809,34.4,23.888888888888886,False,True,True,True,uopt_speed,0.4,23.888888888888886,34.4,single_active_point,single_active_point,14,15,Only one valid active speed point was available; active metrics status is single_active_point.
Eel 9,E09FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,65.3,440,0.1,0.1531393568147014,30.35523773999966,84.32010483333238,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,15,16,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.1,0.14430014430014432,38.97825800869543,108.27293891304284,True,False,False,False,lowflow_0.1_m_s,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.4,0.5772005772005773,40.14971572695635,27.881747032608573,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.5,0.7215007215007215,37.59376099304345,20.885422773913028,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.6,0.8658008658008658,54.02994262956517,25.01386232850239,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.7,1.0101010101010102,35.30405369739124,14.009545118012397,False,True,True,True,uopt_speed,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,Uopt/minCOT occurs at an interior observed active speed.
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.8,1.1544011544011545,72.52509928695659,25.18232614130437,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.9,1.298701298701299,74.83254262956534,23.0964637745572,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.1,0.13262599469496023,41.65297425795253,115.70270627209034,True,False,False,False,lowflow_0.1_m_s,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.4,0.5305039787798409,84.78497638310245,58.87845582159891,False,True,False,True,active_measured,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.5,0.6631299734748011,97.78454857433944,54.324749207966356,False,True,True,True,uopt_speed,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,Uopt/minCOT occurs at an interior observed active speed.
